,CA,Solicitantes,Año,Pais
0,Andalucía,215,2012,España
1,Aragón,5,2012,España
2,Asturias,9,2012,España
3,Cantabria,19,2012,España
4,Castilla La Mancha,11,2012,España
5,Castilla y León,15,2012,España
6,Cataluña,206,2012,España
7,Ceuta,184,2012,España
8,Comunidad de Madrid,1,2012,España
9,Comunidad de Murcia,13,2012,España
10,Comunidad Valenciana,185,2012,España
11,Extremadura,2,2012,España
12,Galicia,10,2012,España
13,Islas Baleares,12,2012,España
14,Islas Canarias,39,2012,España
15,La Rioja,1,2012,España
16,Melilla,33,2012,España
17,Navarra,5,2012,España
18,País Vasco,78,2012,España
0,Andalucía,686,2013,España
1,Aragón,96,2013,España
2,Asturias,21,2013,España
3,Islas Balerares,8,2013,España
4,Islas Canarias,81,2013,España
5,Cantabria,32,2013,España
6,Castilla y León,41,2013,España
7,Castilla La Mancha,105,2013,España
8,Cataluña,484,2013,España
9,Comunidad Valenciana,457,2013,España
10,Extremadura,3,2013,España
11,Galicia,8,2013,España
12,Comunidad de Madrid,1777,2013,España
13,Comunidad de Murcia,73,2013,España
14,Navarra,3,2013,España
15,País Vasco,62,2013,España
16,Comunidad Valenciana,3,2013,España
17,Ceuta,321,2013,España
18,Melilla,41,2013,España
0,Andalucía,630,2014,España
1,Aragón,91,2014,España
2,Asturias,36,2014,España
3,Islas Baleares,18,2014,España
4,Islas Canarias,115,2014,España
5,Cantabria,47,2014,España
6,Castilla y León,53,2014,España
7,Castilla La Mancha,51,2014,España
8,Cataluña,786,2014,España
9,Ceuta,392,2014,España
10,Comunidad Valenciana,605,2014,España
11,Extremadura,5,2014,España
12,Galicia,15,2014,España
13,Comunidad de Madrid,1861,2014,España
14,Melilla,542,2014,España
15,Comunidad de Murcia,103,2014,España
16,Navarra,26,2014,España
17,País Vasco,99,2014,España
18,Comunidad Valenciana,0,2014,España
0,Andalucía,1416,2015,España
1,Aragón,109,2015,España
2,Asturias,15,2015,España
3,Cantabria,55,2015,España
4,Castilla La Mancha,69,2015,España
5,Castilla y León,106,2015,España
6,Cataluña,1302,2015,España
7,Ceuta,314,2015,España
